DATA,DIA_SEMANA,IDENTIFICADOR,EMPRESA,ABERTURA,FECHAMENTO,VARIACAO,MINIMO,MAXIMO,VOLUME
29/12/2022,quinta-feira,ITUB3,Itau Unibanco,"19,70","19,61","-0,18","19,61","19,90","35.730.000,00"
28/12/2022,quarta-feira,ITUB3,Itau Unibanco,"19,24","19,64","2,57","19,15","19,72","11.600.000,00"
27/12/2022,terca-feira,ITUB3,Itau Unibanco,"19,39","19,15","-0,93","18,99","19,39","16.530.000,00"
26/12/2022,segunda-feira,ITUB3,Itau Unibanco,"19,56","19,33","-1,28","19,15","19,56","2.880.000,00"
23/12/2022,sexta-feira,ITUB3,Itau Unibanco,"19,32","19,58","1,25","19,27","19,77","12.230.000,00"
22/12/2022,quinta-feira,ITUB3,Itau Unibanco,"19,31","19,34","0,37","19,08","19,45","25.920.000,00"
21/12/2022,quarta-feira,ITUB3,Itau Unibanco,"19,15","19,27","0,89","19,00","19,35","13.360.000,00"
20/12/2022,terca-feira,ITUB3,Itau Unibanco,"18,65","19,10","2,25","18,65","19,35","18.590.000,00"
19/12/2022,segunda-feira,ITUB3,Itau Unibanco,"18,46","18,68","1,56","18,33","18,78","17.930.000,00"
16/12/2022,sexta-feira,ITUB3,Itau Unibanco,"18,31","18,39","0,34","18,25","18,51","21.050.000,00"
15/12/2022,quinta-feira,ITUB3,Itau Unibanco,"18,08","18,33","0,79","17,83","18,54","16.510.000,00"
14/12/2022,quarta-feira,ITUB3,Itau Unibanco,"17,88","18,18","1,05","17,63","18,33","28.930.000,00"
13/12/2022,terca-feira,ITUB3,Itau Unibanco,"18,63","17,99","-3,04","17,91","18,69","24.450.000,00"
12/12/2022,segunda-feira,ITUB3,Itau Unibanco,"18,83","18,56","-1,43","18,28","18,91","28.420.000,00"
09/12/2022,sexta-feira,ITUB3,Itau Unibanco,"19,15","18,83","-1,08","18,82","19,15","13.840.000,00"
08/12/2022,quinta-feira,ITUB3,Itau Unibanco,"19,60","19,03","-3,26","18,96","19,63","31.290.000,00"
07/12/2022,quarta-feira,ITUB3,Itau Unibanco,"19,61","19,67","0,13","19,56","19,88","10.420.000,00"
06/12/2022,terca-feira,ITUB3,Itau Unibanco,"19,47","19,65","0,90","19,36","19,72","16.380.000,00"
05/12/2022,segunda-feira,ITUB3,Itau Unibanco,"19,78","19,47","-1,82","19,37","19,79","17.140.000,00"
02/12/2022,sexta-feira,ITUB3,Itau Unibanco,"19,79","19,83","0,36","19,47","20,13","14.520.000,00"
01/12/2022,quinta-feira,ITUB3,Itau Unibanco,"19,61","19,76","-0,04","19,54","19,87","13.530.000,00"
30/11/2022,quarta-feira,ITUB3,Itau Unibanco,"19,52","19,77","1,44","19,35","19,77","16.840.000,00"
29/11/2022,terca-feira,ITUB3,Itau Unibanco,"19,48","19,49","0,45","18,96","19,75","22.470.000,00"
28/11/2022,segunda-feira,ITUB3,Itau Unibanco,"19,63","19,40","-1,17","19,27","19,74","16.680.000,00"
25/11/2022,sexta-feira,ITUB3,Itau Unibanco,"20,11","19,63","-2,10","19,53","20,12","14.370.000,00"
24/11/2022,quinta-feira,ITUB3,Itau Unibanco,"19,71","20,05","2,38","19,63","20,29","9.640.000,00"
23/11/2022,quarta-feira,ITUB3,Itau Unibanco,"19,69","19,59","-0,93","19,44","19,69","15.360.000,00"
22/11/2022,terca-feira,ITUB3,Itau Unibanco,"20,00","19,77","-0,79","19,65","20,21","22.570.000,00"
21/11/2022,segunda-feira,ITUB3,Itau Unibanco,"20,11","19,93","-0,53","19,82","20,36","15.340.000,00"
18/11/2022,sexta-feira,ITUB3,Itau Unibanco,"20,11","20,04","0,84","19,89","20,39","10.450.000,00"
17/11/2022,quinta-feira,ITUB3,Itau Unibanco,"19,54","19,87","0,13","19,46","19,92","21.090.000,00"
16/11/2022,quarta-feira,ITUB3,Itau Unibanco,"20,10","19,84","-1,31","19,72","20,12","23.390.000,00"
14/11/2022,segunda-feira,ITUB3,Itau Unibanco,"20,11","20,11","0,00","19,81","20,32","18.930.000,00"
11/11/2022,sexta-feira,ITUB3,Itau Unibanco,"20,54","20,11","-2,01","19,93","20,96","24.440.000,00"
10/11/2022,quinta-feira,ITUB3,Itau Unibanco,"20,75","20,52","-1,18","20,09","20,75","29.860.000,00"
09/11/2022,quarta-feira,ITUB3,Itau Unibanco,"21,17","20,76","-5,10","20,69","21,54","33.030.000,00"
08/11/2022,terca-feira,ITUB3,Itau Unibanco,"21,81","21,88","-0,12","21,53","21,92","17.050.000,00"
07/11/2022,segunda-feira,ITUB3,Itau Unibanco,"22,32","21,90","-1,89","21,70","22,36","24.540.000,00"
